Rank,IMDB Rating,Director,Metascore,Release Year,Duration,Title,IMDB Rating scaled up,Movie Age
232,8.1,Park Chan-wook,85,2016,2.4166666666666665,Ah-ga-ssi,81,7
233,8.2,Ernst Lubitsch,86,1942,1.65,To Be or Not to Be,82,81
234,8.2,Çagan Irmak,82,2005,1.8666666666666667,Babam ve Oglum,82,18
235,8.0,Harold Ramis,72,1993,1.6833333333333333,Groundhog Day,80,30
236,8.1,Gillo Pontecorvo,96,1966,2.0166666666666666,La battaglia di Algeri,81,57
237,8.1,John Ford,96,1940,2.15,The Grapes of Wrath,81,83
238,8.1,Alejandro G. Iñárritu,83,2000,2.5666666666666664,Amores perros,81,23
239,8.1,Robert Wise,63,1965,2.8666666666666667,The Sound of Music,81,58
240,8.1,Alfred Hitchcock,86,1940,2.1666666666666665,Rebecca,81,83
241,8.1,Stuart Rosenberg,92,1967,2.1166666666666667,Cool Hand Luke,81,56
242,8.1,Brad Bird,85,1999,1.4333333333333333,The Iron Giant,81,24
243,8.1,Tate Taylor,62,2011,2.4333333333333336,The Help,81,12
244,8.1,Frank Capra,87,1934,1.75,It Happened One Night,81,89
245,8.2,Satyajit Ray,82,1955,2.0833333333333335,Pather Panchali,82,68
246,8.1,François Truffaut,81,1959,1.65,Les quatre cents coups,81,64
247,8.0,Ron Clements,86,1992,1.5,Aladdin,80,31
248,8.0,Kevin Costner,72,1990,3.0166666666666666,Dances with Wolves,80,33
249,8.0,Terry Jones,77,1979,1.5666666666666667,Life of Brian,80,44
250,8.1,Ingmar Bergman,86,1966,1.4166666666666667,Persona,81,57
